ID=6, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=2, Loja=Loja B, PosicaoEsteiraLoja=0
ID=23, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=7
ID=24, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=23, Loja=Loja B, PosicaoEsteiraLoja=8
ID=26, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=25, Loja=Loja B, PosicaoEsteiraLoja=9
ID=25, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=24, Loja=Loja C, PosicaoEsteiraLoja=8
ID=27, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=7
ID=29, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=28, Loja=Loja A, PosicaoEsteiraLoja=8
ID=28, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=27, Loja=Loja B, PosicaoEsteiraLoja=10
ID=31, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=30, Loja=Loja B, PosicaoEsteiraLoja=11
ID=30, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=29, Loja=Loja C, PosicaoEsteiraLoja=9
ID=32, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=31, Loja=Loja A, PosicaoEsteiraLoja=9
ID=35, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=34, Loja=Loja B, PosicaoEsteiraLoja=12
ID=34, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=33, Loja=Loja A, PosicaoEsteiraLoja=10
ID=33, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=32, Loja=Loja C, PosicaoEsteiraLoja=10
ID=37, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=36, Loja=Loja B, PosicaoEsteiraLoja=13
ID=36, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=35, Loja=Loja A, PosicaoEsteiraLoja=11
ID=39, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=38, Loja=Loja B, PosicaoEsteiraLoja=14
ID=38, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=37, Loja=Loja C, PosicaoEsteiraLoja=11
ID=40, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=39, Loja=Loja A, PosicaoEsteiraLoja=12
ID=41, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=0, Loja=Loja B, PosicaoEsteiraLoja=15
ID=43, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=2, Loja=Loja B, PosicaoEsteiraLoja=16
ID=44, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=3, Loja=Loja C, PosicaoEsteiraLoja=12
ID=42, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=1, Loja=Loja A, PosicaoEsteiraLoja=13
ID=45, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=4, Loja=Loja B, PosicaoEsteiraLoja=17
ID=46, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=13
ID=47, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=6, Loja=Loja A, PosicaoEsteiraLoja=14
ID=48, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=7, Loja=Loja C, PosicaoEsteiraLoja=14
ID=49, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=8, Loja=Loja A, PosicaoEsteiraLoja=15
ID=50, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=9, Loja=Loja C, PosicaoEsteiraLoja=15
ID=51, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=10, Loja=Loja A, PosicaoEsteiraLoja=16
ID=53, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=12, Loja=Loja A, PosicaoEsteiraLoja=17
ID=54, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=13, Loja=Loja B, PosicaoEsteiraLoja=18
ID=52, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=16
ID=55, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=18
ID=56, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=15, Loja=Loja B, PosicaoEsteiraLoja=19
ID=57, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=16, Loja=Loja C, PosicaoEsteiraLoja=17
ID=58, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=17, Loja=Loja B, PosicaoEsteiraLoja=0
ID=59, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=18, Loja=Loja C, PosicaoEsteiraLoja=18
ID=61, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=20, Loja=Loja C, PosicaoEsteiraLoja=19
ID=60, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=19, Loja=Loja B, PosicaoEsteiraLoja=1
ID=63, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=0
ID=62, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=21, Loja=Loja A, PosicaoEsteiraLoja=19
ID=64, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=23, Loja=Loja B, PosicaoEsteiraLoja=2
ID=66, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=25, Loja=Loja B, PosicaoEsteiraLoja=3
ID=65, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=24, Loja=Loja C, PosicaoEsteiraLoja=1
ID=67, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=0
ID=68, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=27, Loja=Loja B, PosicaoEsteiraLoja=4
ID=71, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=30, Loja=Loja C, PosicaoEsteiraLoja=2
ID=70, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=29, Loja=Loja B, PosicaoEsteiraLoja=5
ID=69, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=28, Loja=Loja A, PosicaoEsteiraLoja=1
ID=72, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=31, Loja=Loja C, PosicaoEsteiraLoja=3
ID=73, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=32, Loja=Loja B, PosicaoEsteiraLoja=6
ID=74, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=33, Loja=Loja C, PosicaoEsteiraLoja=4
ID=75, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=34, Loja=Loja B, PosicaoEsteiraLoja=7
ID=76, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=35, Loja=Loja C, PosicaoEsteiraLoja=5
ID=77, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=36, Loja=Loja B, PosicaoEsteiraLoja=8
ID=78, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=37, Loja=Loja C, PosicaoEsteiraLoja=6
ID=79, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=38, Loja=Loja A, PosicaoEsteiraLoja=2
ID=80, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=39, Loja=Loja B, PosicaoEsteiraLoja=9
ID=81, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=3
ID=82, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=1, Loja=Loja B, PosicaoEsteiraLoja=10
ID=83, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=2, Loja=Loja C, PosicaoEsteiraLoja=7
ID=84, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=3, Loja=Loja C, PosicaoEsteiraLoja=8
ID=86, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=5, Loja=Loja A, PosicaoEsteiraLoja=4
ID=85, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=4, Loja=Loja B, PosicaoEsteiraLoja=11
ID=87, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=6, Loja=Loja C, PosicaoEsteiraLoja=9
ID=88, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=7, Loja=Loja A, PosicaoEsteiraLoja=5
ID=89, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=8, Loja=Loja B, PosicaoEsteiraLoja=12
ID=90, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=6
ID=92, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=11, Loja=Loja A, PosicaoEsteiraLoja=7
ID=91, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=10, Loja=Loja B, PosicaoEsteiraLoja=13
ID=93, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=12, Loja=Loja C, PosicaoEsteiraLoja=10
ID=94, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=13, Loja=Loja B, PosicaoEsteiraLoja=14
ID=95, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=15, Loja=Loja B, PosicaoEsteiraLoja=15
ID=96, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=8
ID=97, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=16, Loja=Loja C, PosicaoEsteiraLoja=11
ID=98, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=17, Loja=Loja A, PosicaoEsteiraLoja=9
ID=99, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=18, Loja=Loja B, PosicaoEsteiraLoja=16
ID=100, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=19, Loja=Loja A, PosicaoEsteiraLoja=10
