ID=2, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=1, Loja=Loja C, PosicaoEsteiraLoja=0, ClienteID=1
ID=35, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=34, Loja=Loja C, PosicaoEsteiraLoja=12, ClienteID=1
ID=37, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=36, Loja=Loja C, PosicaoEsteiraLoja=13, ClienteID=6
ID=39, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=38, Loja=Loja C, PosicaoEsteiraLoja=14, ClienteID=18
ID=41, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=0, Loja=Loja C, PosicaoEsteiraLoja=15, ClienteID=7
ID=43, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=2, Loja=Loja C, PosicaoEsteiraLoja=16, ClienteID=18
ID=45, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=4, Loja=Loja C, PosicaoEsteiraLoja=17, ClienteID=2
ID=47, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=6, Loja=Loja C, PosicaoEsteiraLoja=18, ClienteID=2
ID=51, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=10, Loja=Loja C, PosicaoEsteiraLoja=19, ClienteID=2
ID=53, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=12, Loja=Loja C, PosicaoEsteiraLoja=0, ClienteID=7
ID=55, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=14, Loja=Loja C, PosicaoEsteiraLoja=1, ClienteID=7
ID=59, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=18, Loja=Loja C, PosicaoEsteiraLoja=2, ClienteID=7
ID=61, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=20, Loja=Loja C, PosicaoEsteiraLoja=3, ClienteID=6
ID=64, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=23, Loja=Loja C, PosicaoEsteiraLoja=4, ClienteID=3
ID=66, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=25, Loja=Loja C, PosicaoEsteiraLoja=5, ClienteID=3
ID=84, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=3, Loja=Loja C, PosicaoEsteiraLoja=6, ClienteID=2
ID=88, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=7, Loja=Loja C, PosicaoEsteiraLoja=7, ClienteID=7
ID=90, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=9, Loja=Loja C, PosicaoEsteiraLoja=8, ClienteID=7
ID=96, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=15, Loja=Loja C, PosicaoEsteiraLoja=9, ClienteID=19
ID=98, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=17, Loja=Loja C, PosicaoEsteiraLoja=10, ClienteID=11
ID=100, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=19, Loja=Loja C, PosicaoEsteiraLoja=11, ClienteID=19
